,product_id,ordered_at,quantity_ordered,old_price,new_price,updated_at
69,3954203,2018-09-11 12:26:00,1,64000,60500,2018-09-15 03:49:00
70,3954203,2018-09-11 12:26:00,1,68800,60000,2018-09-10 16:32:00
71,3954203,2018-09-11 16:00:00,1,60000,64000,2018-09-11 11:54:00
72,3954203,2018-09-11 16:00:00,1,60500,57500,2018-09-17 22:59:00
73,3954203,2018-09-11 16:00:00,1,64000,60500,2018-09-15 03:49:00
74,3954203,2018-09-11 16:00:00,1,68800,60000,2018-09-10 16:32:00
75,3954203,2018-09-11 15:27:00,1,60000,64000,2018-09-11 11:54:00
76,3954203,2018-09-11 15:27:00,1,60500,57500,2018-09-17 22:59:00
77,3954203,2018-09-11 15:27:00,1,64000,60500,2018-09-15 03:49:00
78,3954203,2018-09-11 15:27:00,1,68800,60000,2018-09-10 16:32:00
79,3998909,2018-09-13 18:58:00,1,15500,16500,2018-09-16 05:09:00
80,3998909,2018-09-13 18:58:00,1,17000,15500,2018-09-13 06:43:00
81,3998909,2018-09-13 18:58:00,1,19000,17000,2018-09-10 16:35:00
82,3954203,2018-09-11 11:11:00,1,60000,64000,2018-09-11 11:54:00
83,3954203,2018-09-11 11:11:00,1,60500,57500,2018-09-17 22:59:00
84,3954203,2018-09-11 11:11:00,1,64000,60500,2018-09-15 03:49:00
85,3954203,2018-09-11 11:11:00,1,68800,60000,2018-09-10 16:32:00
86,3954203,2018-09-11 11:11:00,1,60000,64000,2018-09-11 11:54:00
87,3954203,2018-09-11 11:11:00,1,60500,57500,2018-09-17 22:59:00
88,3954203,2018-09-11 11:11:00,1,64000,60500,2018-09-15 03:49:00
89,3954203,2018-09-11 11:11:00,1,68800,60000,2018-09-10 16:32:00
90,4085861,2018-09-11 06:53:00,1,53500,52000,2018-09-17 22:59:00
91,4085861,2018-09-11 06:53:00,1,53500,67000,2018-09-12 03:51:00
92,4085861,2018-09-11 06:53:00,1,58000,53500,2018-09-17 03:35:00
93,4085861,2018-09-11 06:53:00,1,60000,53500,2018-09-11 08:51:00
94,4085861,2018-09-11 06:53:00,1,62500,58000,2018-09-15 03:51:00
95,4085861,2018-09-11 06:53:00,1,67000,62500,2018-09-13 06:43:00
96,4085861,2018-09-11 08:24:00,1,53500,52000,2018-09-17 22:59:00
97,4085861,2018-09-11 08:24:00,1,53500,67000,2018-09-12 03:51:00
98,4085861,2018-09-11 08:24:00,1,58000,53500,2018-09-17 03:35:00
99,4085861,2018-09-11 08:24:00,1,60000,53500,2018-09-11 08:51:00
100,4085861,2018-09-11 08:24:00,1,62500,58000,2018-09-15 03:51:00
101,4085861,2018-09-11 08:24:00,1,67000,62500,2018-09-13 06:43:00
102,4085861,2018-09-11 06:26:00,1,53500,52000,2018-09-17 22:59:00
103,4085861,2018-09-11 06:26:00,1,53500,67000,2018-09-12 03:51:00
104,4085861,2018-09-11 06:26:00,1,58000,53500,2018-09-17 03:35:00
105,4085861,2018-09-11 06:26:00,1,60000,53500,2018-09-11 08:51:00
106,4085861,2018-09-11 06:26:00,1,62500,58000,2018-09-15 03:51:00
107,4085861,2018-09-11 06:26:00,1,67000,62500,2018-09-13 06:43:00
108,4085861,2018-09-16 11:23:00,1,53500,52000,2018-09-17 22:59:00
109,4085861,2018-09-16 11:23:00,1,53500,67000,2018-09-12 03:51:00
110,4085861,2018-09-16 11:23:00,1,58000,53500,2018-09-17 03:35:00
111,4085861,2018-09-16 11:23:00,1,60000,53500,2018-09-11 08:51:00
112,4085861,2018-09-16 11:23:00,1,62500,58000,2018-09-15 03:51:00
113,4085861,2018-09-16 11:23:00,1,67000,62500,2018-09-13 06:43:00
114,4085861,2018-09-15 11:59:00,1,53500,52000,2018-09-17 22:59:00
115,4085861,2018-09-15 11:59:00,1,53500,67000,2018-09-12 03:51:00
116,4085861,2018-09-15 11:59:00,1,58000,53500,2018-09-17 03:35:00
117,4085861,2018-09-15 11:59:00,1,60000,53500,2018-09-11 08:51:00
118,4085861,2018-09-15 11:59:00,1,62500,58000,2018-09-15 03:51:00
119,4085861,2018-09-15 11:59:00,1,67000,62500,2018-09-13 06:43:00
120,4085861,2018-09-16 18:35:00,1,53500,52000,2018-09-17 22:59:00
121,4085861,2018-09-16 18:35:00,1,53500,67000,2018-09-12 03:51:00
122,4085861,2018-09-16 18:35:00,1,58000,53500,2018-09-17 03:35:00
123,4085861,2018-09-16 18:35:00,1,60000,53500,2018-09-11 08:51:00
124,4085861,2018-09-16 18:35:00,1,62500,58000,2018-09-15 03:51:00
125,4085861,2018-09-16 18:35:00,1,67000,62500,2018-09-13 06:43:00
126,4085861,2018-09-16 09:58:00,2,53500,52000,2018-09-17 22:59:00
127,4085861,2018-09-16 09:58:00,2,53500,67000,2018-09-12 03:51:00
128,4085861,2018-09-16 09:58:00,2,58000,53500,2018-09-17 03:35:00
129,4085861,2018-09-16 09:58:00,2,60000,53500,2018-09-11 08:51:00
130,4085861,2018-09-16 09:58:00,2,62500,58000,2018-09-15 03:51:00
131,4085861,2018-09-16 09:58:00,2,67000,62500,2018-09-13 06:43:00
132,4085861,2018-09-15 08:28:00,1,53500,52000,2018-09-17 22:59:00
133,4085861,2018-09-15 08:28:00,1,53500,67000,2018-09-12 03:51:00
134,4085861,2018-09-15 08:28:00,1,58000,53500,2018-09-17 03:35:00
135,4085861,2018-09-15 08:28:00,1,60000,53500,2018-09-11 08:51:00
136,4085861,2018-09-15 08:28:00,1,62500,58000,2018-09-15 03:51:00
137,4085861,2018-09-15 08:28:00,1,67000,62500,2018-09-13 06:43:00
138,4085861,2018-09-15 11:22:00,1,53500,52000,2018-09-17 22:59:00
139,4085861,2018-09-15 11:22:00,1,53500,67000,2018-09-12 03:51:00
140,4085861,2018-09-15 11:22:00,1,58000,53500,2018-09-17 03:35:00
141,4085861,2018-09-15 11:22:00,1,60000,53500,2018-09-11 08:51:00
142,4085861,2018-09-15 11:22:00,1,62500,58000,2018-09-15 03:51:00
143,4085861,2018-09-15 11:22:00,1,67000,62500,2018-09-13 06:43:00
144,4085861,2018-09-15 17:40:00,1,53500,52000,2018-09-17 22:59:00
145,4085861,2018-09-15 17:40:00,1,53500,67000,2018-09-12 03:51:00
146,4085861,2018-09-15 17:40:00,1,58000,53500,2018-09-17 03:35:00
147,4085861,2018-09-15 17:40:00,1,60000,53500,2018-09-11 08:51:00
148,4085861,2018-09-15 17:40:00,1,62500,58000,2018-09-15 03:51:00
149,4085861,2018-09-15 17:40:00,1,67000,62500,2018-09-13 06:43:00
150,4085861,2018-09-16 16:56:00,1,53500,52000,2018-09-17 22:59:00
151,4085861,2018-09-16 16:56:00,1,53500,67000,2018-09-12 03:51:00
152,4085861,2018-09-16 16:56:00,1,58000,53500,2018-09-17 03:35:00
153,4085861,2018-09-16 16:56:00,1,60000,53500,2018-09-11 08:51:00
154,4085861,2018-09-16 16:56:00,1,62500,58000,2018-09-15 03:51:00
155,4085861,2018-09-16 16:56:00,1,67000,62500,2018-09-13 06:43:00
156,4085861,2018-09-16 19:25:00,1,53500,52000,2018-09-17 22:59:00
157,4085861,2018-09-16 19:25:00,1,53500,67000,2018-09-12 03:51:00
158,4085861,2018-09-16 19:25:00,1,58000,53500,2018-09-17 03:35:00
159,4085861,2018-09-16 19:25:00,1,60000,53500,2018-09-11 08:51:00
